Acronym,Name,URL,Num. People
CIREL,Centre Interuniversitaire de Recherche en Éducation de Lille,https://cirel.univ-lille.fr,1
CREM,Centre de recherche sur les médiations. Communication – Langue – Art – Culture,https://crem.univ-lorraine.fr,1
CRIL,Centre de Recherche en Informatique de Lens,http://www.cril.univ-artois.fr/,1
ELLIADD,"Édition, Littératures, Langages, Informatique, Arts, Didactique, Discours",https://elliadd.univ-fcomte.fr,1
EMC,Laboratoire d'Étude des Mécanismes Cognitifs,None,1
ERPI,Equipe de Recherche sur les Processus Innovatifs,https://erpi.univ-lorraine.fr/,1
Heudiasyc,Heuristique et Diagnostique des Systèmes Complexes,https://www.hds.utc.fr/,1
I3 - UMR 9217,Institut interdisciplinaire de l'innovation,https://i3.cnrs.fr,1
I3S,"Laboratoire d'Informatique, Signaux et Systèmes de Sophia Antipolis",https://www.i3s.unice.fr,1
ICube,"Laboratoire des sciences de l'ingénieur, de l'informatique et de l'imagerie",https://icube.unistra.fr,1
IMT,Institut de Mathématiques de Toulouse,https://www.math.univ-toulouse.fr/,1
INRIA Lyon,INRIA Lyon,https://www.inria.fr/fr/centre-inria-de-lyon,1
INRIA Rennes,INRIA Rennes,https://www.inria.fr/fr/centre-inria-universite-rennes,1
INRIA Saclay,INRIA Saclay,https://www.inria.fr/fr/centre-inria-de-saclay,1
INRIA UCA,INRIA Université Côte d'Azur,https://www.inria.fr/fr/centre-inria-universite-cote-azur,1
INSERM,Institut national de la santé et de la recherche médicale,https://www.inserm.fr,1
IP,Institut Pascal,http://www.institutpascal.uca.fr/,1
"IPAL, IRL2955",International Research Laboratory on Artificial Intelligence,https://ipal.cnrs.fr,1
ISAE SUPAERO,Institut Supérieur de l'Aéronautique et de l'Espace,http://www.isae-supaero.fr,1
L2S,Laboratoire des Signaux et Systèmes,https://l2s.centralesupelec.fr,1
LAAS-CNRS,Laboratoire d'analyse et d'architecture des systèmes,https://www.laas.fr/public/fr,1
LACL,"Laboratoire d’Algorithmique, Complexité et Logique",http://www.lacl.fr/,1
LAPEA,Laboratoire de Psychologie et d’Ergonomie Appliquées,https://lapea.u-paris.fr,1
LIP6,LIP6,https://www.lip6.fr,1
LIST3N,Computer Science and Digital Society,https://recherche.utt.fr/list3n,1
LORIA,Laboratoire Lorain de recherche en informatique et ses applications,https://www.loria.fr/fr/la-recherche/,1
METRICS,Evaluation des technologies de santé et des pratiques médicales,https://metrics.univ-lille.fr/,1
MICA,"Médiations, Informations, Communication, Arts - UR 4426",None,1
MIRACL,"Multimedia, InfoRmation systems and Advanced Computing Laboratory.",http://www.miracl.rnu.tn/,1
MIS,"Modélisation, Information et Systèmes",https://www.mis.u-picardie.fr,1
OREME,Observatoire de REcherche Montpelliérain de l'Environnement,https://oreme.org,1
SANPSY,"Sommeil, Addiction et NeuroPSYchiatrie",https://sanpsy.u-bordeaux.fr/,1
SATIE,Systèmes et Applications des Technologies de l'Information et de l'Énergie,https://satie.ens-paris-saclay.fr,1
Techné,Technologies numériques pour l'éducation,https://techne.labo.univ-poitiers.fr,1
XLIM,XLIM,https://www.xlim.fr/,1
CERCA,Centre de Recherches sur la Cognition et l’Apprentissage,https://cerca.labo.univ-poitiers.fr,2
Cerema,"Centre d'études et d'expertise sur les risques, l'environnement, la mobilité et l'aménagement",https://www.cerema.fr,2
CHArt,Cognitions Humaine et Artificielle,http://laboratoire-chart.fr,2
EstiaR,ESTIA-Recherche,https://www.estia.fr/recherche,2
ETIS,Equipe Traitement de l'Information et Système,https://www.etis-lab.fr/,2
INRIA Bordeaux,INRIA Bordeaux,https://www.inria.fr/fr/centre-inria-de-luniversite-de-bordeaux,2
L3I,"Laboratoire Informatique, Image, Interaction",https://l3i.univ-larochelle.fr/,2
LAMPA,"Laboratoire Angevin de Mécanique, Procédés et innovAtion",https://lampa.ensam.eu/,2
LIUM,Laboratoire d'Informatique de l'Université du Mans,https://lium.univ-lemans.fr/,2
LS2N,LABORATOIRE DES SCIENCES DU NUMÉRIQUE DE NANTES,https://www.ls2n.fr,2
Non académique,Laboratoire non académique,None,2
PErSEUs,Psychologie Ergonomique et Sociale pour l’Expérience Utilisateurs (UR7312),http://perseus.univ-lorraine.fr/,2
STMS,Sciences et Technologies de la Musique et du Son,https://www.stms-lab.fr,2
CEA LIST,Laboratoire d'Intégration de Systèmes et de Technologies,https://list.cea.fr/,3
CLLE - UMR 5263,"Laboratoire Cognition, Langues, Langage, Ergonomie",https://clle.univ-tlse2.fr,3
ENAC LAB,ENAC LAB,https://www.enac.fr/fr/les-quatre-equipes-de-recherche,3
G-SCOP,"Siences pour la conception, l'Optimisation et la Production",https://g-scop.grenoble-inp.fr,3
GREYC,Laboratoire de recherche en sciences du numérique,https://www.greyc.fr,3
INRIA Paris,INRIA Paris,https://www.inria.fr/fr/centre-inria-de-paris,3
LAMIH,"Laboratoire d'Automatique, de Mécanique et d'Informatique, industrielles et Humaines",https://www.uphf.fr/lamih,3
LISIC,Laboratoire d’Informatique Signal et Image de la Côte d’Opale,https://www-lisic.univ-littoral.fr/,3
LISPEN,Laboratoire d'Ingénierie des Systèmes Physiques Et Numériques,https://lispen.ensam.eu/,3
IMS,Laboratoire de l'Intégration du Matériau au Système,https://www.ims-bordeaux.fr,4
CAOR,Centre de Robotique,https://www.caor.minesparis.psl.eu,5
LINEACT CESI,Laboratoire d’Innovation Numérique pour les Entreprises et les Apprentissages au service de la Compé,https://lineact.cesi.fr/,5
LIRIS,Laboratoire d'Informatique en Image et Systèmes d'information,https://liris.cnrs.fr,5
